2019-10-10 16:05:41,159 | INFO  | Connector openwire-ssl started | org.apache.activemq.broker.TransportConnector | main
2019-10-10 16:05:41,160 | INFO  | Apache ActiveMQ 5.14.3 (ConnectorA, ID:03cd0b9e2a93-41115-1570723540589-0:1) started | org.apache.activemq.broker.BrokerService | main
2019-10-10 16:05:41,160 | INFO  | For help or more information please see: http://activemq.apache.org | org.apache.activemq.broker.BrokerService | main
2019-10-10 16:05:41,160 | WARN  | Temporary Store limit is 51200 mb (current store usage is 0 mb). The data directory: /opt/activemq only has 3243 mb of usable space. - resetting to maximum available disk space: 3243 mb | org.apache.activemq.broker.BrokerService | main
2019-10-10 16:05:42,506 | INFO  | No Spring WebApplicationInitializer types detected on classpath | /admin | main
2019-10-10 16:05:43,221 | INFO  | ActiveMQ WebConsole available at http://0.0.0.0:8161/ | org.apache.activemq.web.WebConsoleStarter | main
2019-10-10 16:05:43,221 | INFO  | ActiveMQ Jolokia REST API available at http://0.0.0.0:8161/api/jolokia/ | org.apache.activemq.web.WebConsoleStarter | main
2019-10-10 16:05:43,401 | INFO  | Initializing Spring FrameworkServlet 'dispatcher' | /admin | main
2019-10-10 16:05:44,254 | INFO  | No Spring WebApplicationInitializer types detected on classpath | /api | main
2019-10-10 16:05:44,362 | INFO  | jolokia-agent: Using policy access restrictor classpath:/jolokia-access.xml | /api | main
2019-10-10 16:05:45,079 | INFO  | Loaded 202 type converters | org.apache.camel.impl.converter.DefaultTypeConverter | main
2019-10-10 16:05:45,181 | INFO  | Apache Camel 2.16.3 (CamelContext: camel-1) is starting | org.apache.camel.spring.SpringCamelContext | main
2019-10-10 16:05:45,182 | INFO  | JMX is enabled | org.apache.camel.management.ManagedManagementStrategy | main
2019-10-10 16:05:45,486 | INFO  | Runtime endpoint registry is in extended mode gathering usage statistics of all incoming and outgoing endpoints (cache limit: 1000) | org.apache.camel.impl.DefaultRuntimeEndpointRegistry | main
2019-10-10 16:05:45,888 | INFO  | Available providers: SUN version 1.8. | org.apache.camel.util.jsse.SSLContextParameters | main
2019-10-10 16:05:45,911 | INFO  | Available providers: SUN version 1.8. | org.apache.camel.util.jsse.SSLContextParameters | main
2019-10-10 16:05:45,954 | INFO  | Created ClientConnectionManager org.apache.http.impl.conn.PoolingHttpClientConnectionManager@28348c6 | org.apache.camel.component.http4.HttpComponent | main
2019-10-10 16:05:46,006 | INFO  | AllowUseOriginalMessage is enabled. If access to the original message is not needed, then its recommended to turn this option off as it may improve performance. | org.apache.camel.spring.SpringCamelContext | main
2019-10-10 16:05:46,007 | INFO  | StreamCaching is not in use. If using streams then its recommended to enable stream caching. See more details at http://camel.apache.org/stream-caching.html | org.apache.camel.spring.SpringCamelContext | main
2019-10-10 16:05:46,809 | INFO  | Route: receiveMessageRoute started and consuming from: Endpoint[activemq://queue:incoming] | org.apache.camel.spring.SpringCamelContext | main
2019-10-10 16:05:46,879 | INFO  | Route: sendMessageRoute started and consuming from: Endpoint[activemq://queue:outcoming] | org.apache.camel.spring.SpringCamelContext | main
2019-10-10 16:05:46,880 | INFO  | Route: route2 started and consuming from: Endpoint[direct://hello] | org.apache.camel.spring.SpringCamelContext | main
2019-10-10 16:05:46,983 | INFO  | Route: route1 started and consuming from: Endpoint[http://03cd0b9e2a93:9091/say/hello?restletMethods=GET] | org.apache.camel.spring.SpringCamelContext | main
